show_id,tmdb_id,tmdb_title,tmdb_original_title,tmdb_media_type,tmdb_release_date,imdb_rating,imdb_votes,tmdb_popularity,tmdb_original_language,tmdb_adult
s5761,334517,The Siege of Jadotville,The Siege of Jadotville,movie,2016-09-19,7.11,915,1.4442,en,FALSE
s5762,419566,LEGO Jurassic World: The Indominus Escape,LEGO Jurassic World: The Indominus Escape,movie,2016-10-03,5.7,102,1.4804,en,FALSE
s5765,419176,Bombshell,Bombshell,movie,2016-10-09,4.5,2,0.098,en,FALSE
s5771,11971,Much Ado About Nothing,Much Ado About Nothing,movie,1993-05-07,6.937,772,2.6644,en,FALSE
s5774,405314,My Little Pony: Equestria Girls - Legend of Everfree,My Little Pony: Equestria Girls - Legend of Everfree,movie,2016-10-01,7.39,118,2.1917,en,FALSE
s5776,640424,Pac’s Scary Halloween,Pac’s Scary Halloween,movie,2016-05-18,7.7,5,0.8984,en,FALSE
s5777,400387,Riphagen the Untouchable,Riphagen,movie,2016-09-22,6.5,176,0.5971,nl,FALSE
s5780,426568,Unchained: The Untold Story of Freestyle Motocross,Unchained: The Untold Story of Freestyle Motocross,movie,2016-08-01,6.3,7,0.9884,en,FALSE
s5783,411009,Amanda Knox,Amanda Knox,movie,2016-09-10,6.6,576,4.1434,da,FALSE
s5784,376228,Audrie & Daisy,Audrie & Daisy,movie,2016-09-23,7.142,194,4.3687,en,FALSE
s5785,416867,Iliza Shlesinger: Confirmed Kills,Iliza Shlesinger: Confirmed Kills,movie,2016-09-23,6.307,88,0.6901,en,FALSE
s5793,410199,ARQ,ARQ,movie,2016-09-16,6.109,1239,3.6939,en,FALSE
s5794,416290,Cedric the Entertainer: Live from the Ville,Cedric the Entertainer: Live from the Ville,movie,2016-09-16,5.8,26,0.0911,en,FALSE
s5796,416211,The White Helmets,The White Helmets,movie,2016-09-16,7.39,200,1.6862,ar,FALSE
s5798,393443,Extremis,Extremis,movie,2016-04-17,7,86,0.4651,en,FALSE
s5799,415722,Jandino: Whatever it Takes,Jandino: Hoe Dan Ook,movie,2016-09-09,5,2,0.0286,nl,FALSE
s5800,69959,Chef's Table: France,Chef's Table: France,tv,2016-09-02,8.5,23,0.6015,en,FALSE
s5801,74222,Kulipari: An Army of Frogs,Kulipari: An Army of Frogs,tv,2016-09-02,6.3,9,1.3586,en,FALSE
s5805,452446,Saudi Arabia Uncovered,"Frontline: ""Exposure"" Saudi Arabia Uncovered",movie,2016-03-22,6.4,10,0.0387,en,FALSE
s5809,410965,Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,movie,2016-08-26,5.6,17,0.0789,en,FALSE
s5810,352492,XOXO,XOXO,movie,2016-08-26,6,595,3.7004,en,FALSE
s5811,390782,I'll Sleep When I'm Dead,I'll Sleep When I'm Dead,movie,2016-04-15,6.417,36,0.9671,en,FALSE
s5820,408546,David Cross: Making America Great Again,David Cross: Making America Great Again,movie,2016-08-05,6.521,48,0.6709,en,FALSE
s5826,73640,The White Slave,La Esclava Blanca,tv,2016-01-16,7.394,189,1.3501,es,FALSE
s5828,74153,LEGO Bionicle: The Journey to One,LEGO Bionicle: The Journey to One,tv,2016-03-04,7.1,48,1.2056,en,FALSE
s5829,353571,Tallulah,Tallulah,movie,2016-06-02,6.7,742,3.0402,en,FALSE
s5831,369033,Rebirth,Rebirth,movie,2016-04-17,4.741,199,4.2876,en,FALSE
s5832,376426,Tony Robbins: I Am Not Your Guru,Tony Robbins: I Am Not Your Guru,movie,2016-07-15,6.5,102,0.8811,en,FALSE
s5834,373453,Brahman Naman,Brahman Naman,movie,2016-01-24,5.5,44,2.51,en,FALSE
s5835,66080,Kuromukuro,クロムクロ,tv,2016-04-07,6.4,49,3.0849,ja,FALSE
s5836,404022,Jim Jefferies: Freedumb,Jim Jefferies: Freedumb,movie,2016-07-01,7.3,150,0.9416,en,FALSE
s5840,403911,Sofía Niño de Rivera: Exposed,Sofía Niño de Rivera: Expuesta,movie,2016-06-24,7.2,10,0.0682,es,FALSE
s5841,318121,The Fundamentals of Caring,The Fundamentals of Caring,movie,2016-06-16,7.3,2262,1.4984,en,FALSE
s5843,400608,Bo Burnham: Make Happy,Bo Burnham: Make Happy,movie,2016-06-03,8,415,0.9616,en,FALSE
s5844,66660,Hibana: Spark,火花,tv,2016-06-02,8.286,28,1.3862,ja,FALSE
s5845,73229,72 Cutest Animals,72 Cutest Animals,tv,2016-06-01,5.7,11,0.2973,en,FALSE
s5846,70169,72 Dangerous Places to Live,72 Dangerous Places to Live,tv,2016-03-21,5.3,13,0.1541,en,FALSE
s5847,389053,The Do-Over,The Do-Over,movie,2016-05-27,5.7,1563,2.5929,en,FALSE
s5848,396292,Ali Wong: Baby Cobra,Ali Wong: Baby Cobra,movie,2016-05-06,7.2,180,1.9211,en,FALSE
s5849,355008,Special Correspondents,Special Correspondents,movie,2016-04-22,5.756,539,3.0026,en,FALSE
s5850,390520,Team Foxcatcher,Team Foxcatcher,movie,2016-04-18,7,143,2.2019,en,FALSE
s5851,392891,Patton Oswalt: Talking for Clapping,Patton Oswalt: Talking for Clapping,movie,2016-04-22,6.623,77,0.1533,en,FALSE
s5852,330697,Belgica,Belgica,movie,2016-03-02,5.992,129,4.1128,nl,FALSE
s5853,376570,Hush,Hush,movie,2016-03-12,6.73,4732,2.8335,en,FALSE
s5858,381693,Kung Fu Panda: Secrets of the Scroll,Kung Fu Panda: Secrets of the Scroll,movie,2016-01-05,6.8,224,2.8157,en,FALSE
s5860,387054,Jimmy Carr: Funny Business,Jimmy Carr: Funny Business,movie,2016-03-18,6.9,144,0.8041,en,FALSE
s5861,381071,My Beautiful Broken Brain,My Beautiful Broken Brain,movie,2014-11-21,7.1,67,0.1583,en,FALSE
s5862,347689,Pee-wee's Big Holiday,Pee-wee's Big Holiday,movie,2016-03-15,6.086,243,0.6412,en,FALSE
s5863,65977,Netflix Presents: The Characters,Netflix Presents: The Characters,tv,2016-03-11,4.909,22,0.6473,en,FALSE
s5865,263341,"Crouching Tiger, Hidden Dragon: Sword of Destiny","Crouching Tiger, Hidden Dragon: Sword of Destiny",movie,2016-02-18,6.165,697,2.4328,en,FALSE
s5867,65517,Cooked,Cooked,tv,2016-02-19,7.237,38,0.4306,en,FALSE
